TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/03/14
TIME	13:35:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	1100
LASTX	350
NPOINTS	1501
FIRSTY	0.0145833
MAXY	0.13885
MINY	0.0145833
XYDATA
1100	0.0145833
1099.5	0.0145942
1099	0.0146136
1098.5	0.0146274
1098	0.0146211
1097.5	0.0146174
1097	0.0146322
1096.5	0.0146223
1096	0.014614
1095.5	0.0146308
1095	0.0146306
1094.5	0.0146314
1094	0.014656
1093.5	0.0146478
1093	0.0146268
1092.5	0.0146216
1092	0.01463
1091.5	0.0146341
1091	0.0146343
1090.5	0.0146356
1090	0.0146272
1089.5	0.0146359
1089	0.0146514
1088.5	0.0146487
1088	0.0146321
1087.5	0.0146308
1087	0.0146282
1086.5	0.0146323
1086	0.0146393
1085.5	0.0146318
1085	0.0146405
1084.5	0.0146531
1084	0.0146547
1083.5	0.0146577
1083	0.0146644
1082.5	0.0146799
1082	0.0146766
1081.5	0.0146974
1081	0.0147203
1080.5	0.0147409
1080	0.0147502
1079.5	0.0147489
1079	0.0147317
1078.5	0.0147133
1078	0.0147069
1077.5	0.0146807
1077	0.0146525
1076.5	0.01464
1076	0.0146611
1075.5	0.0146594
1075	0.0146788
1074.5	0.0146885
1074	0.0146849
1073.5	0.0146932
1073	0.0146879
1072.5	0.0146705
1072	0.0146689
1071.5	0.0146832
1071	0.0146827
1070.5	0.0146918
1070	0.0147118
1069.5	0.0147484
1069	0.0147984
1068.5	0.01484
1068	0.0148615
1067.5	0.0148876
1067	0.0149231
1066.5	0.014921
1066	0.0149362
1065.5	0.0149236
1065	0.0148892
1064.5	0.0148991
1064	0.0148774
1063.5	0.0148628
1063	0.0148517
1062.5	0.0148637
1062	0.0148574
1061.5	0.0148712
1061	0.0149058
1060.5	0.0149222
1060	0.0149642
1059.5	0.0149899
1059	0.0150486
1058.5	0.0150787
1058	0.0151423
1057.5	0.0151775
1057	0.0151942
1056.5	0.0152234
1056	0.0152574
1055.5	0.0152917
1055	0.0152992
1054.5	0.0153323
1054	0.0153514
1053.5	0.0153696
1053	0.0153742
1052.5	0.0153458
1052	0.0153258
1051.5	0.0152966
1051	0.015294
1050.5	0.0152947
1050	0.0152732
1049.5	0.0153019
1049	0.0153408
1048.5	0.015392
1048	0.0154314
1047.5	0.0154873
1047	0.0155241
1046.5	0.0155607
1046	0.0156085
1045.5	0.0156364
1045	0.0156893
1044.5	0.0157354
1044	0.0157599
1043.5	0.0158018
1043	0.0157971
1042.5	0.0158199
1042	0.0158504
1041.5	0.0158401
1041	0.0158331
1040.5	0.0158295
1040	0.0158219
1039.5	0.0158256
1039	0.0158182
1038.5	0.0158126
1038	0.0158144
1037.5	0.0158302
1037	0.0158426
1036.5	0.015861
1036	0.0159098
1035.5	0.0159488
1035	0.016005
1034.5	0.0160513
1034	0.0160725
1033.5	0.0161108
1033	0.0161349
1032.5	0.0161455
1032	0.0161562
1031.5	0.0161664
1031	0.0161784
1030.5	0.0161867
1030	0.0161934
1029.5	0.0162037
1029	0.0162125
1028.5	0.0162221
1028	0.0162318
1027.5	0.0162167
1027	0.0162412
1026.5	0.0162421
1026	0.0162397
1025.5	0.0162441
1025	0.0162334
1024.5	0.0162615
1024	0.0162795
1023.5	0.0162988
1023	0.0163231
1022.5	0.0163488
1022	0.0163834
1021.5	0.016407
1021	0.0164417
1020.5	0.0164507
1020	0.0164677
1019.5	0.0164778
1019	0.0164533
1018.5	0.0164391
1018	0.0164288
1017.5	0.0164173
1017	0.016414
1016.5	0.0163952
1016	0.0163653
1015.5	0.0163813
1015	0.0164032
1014.5	0.0164263
1014	0.0164363
1013.5	0.0164498
1013	0.0164468
1012.5	0.0164675
1012	0.0164745
1011.5	0.016468
1011	0.0164724
1010.5	0.0164756
1010	0.0165014
1009.5	0.0165229
1009	0.0165603
1008.5	0.0165868
1008	0.0166189
1007.5	0.0166328
1007	0.016628
1006.5	0.0166355
1006	0.016616
