TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/03/14
TIME	13:38:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	1100
LASTX	350
NPOINTS	1501
FIRSTY	0.0150959
MAXY	0.167081
MINY	0.0150959
XYDATA
1100	0.0150959
1099.5	0.0151173
1099	0.0151554
1098.5	0.0152072
1098	0.01523
1097.5	0.0152654
1097	0.015324
1096.5	0.0153791
1096	0.0154299
1095.5	0.0155145
1095	0.015533
1094.5	0.0155389
1094	0.0155784
1093.5	0.0155596
1093	0.0155194
1092.5	0.0154994
1092	0.0154755
1091.5	0.0154484
1091	0.0154438
1090.5	0.0154428
1090	0.0154086
1089.5	0.0154052
1089	0.0154142
1088.5	0.0154054
1088	0.0154047
1087.5	0.0154084
1087	0.0154137
1086.5	0.0154269
1086	0.0154591
1085.5	0.0154843
1085	0.0155055
1084.5	0.0155494
1084	0.0155943
1083.5	0.0156508
1083	0.0156983
1082.5	0.0157476
1082	0.0157826
1081.5	0.0158405
1081	0.0158999
1080.5	0.0159466
1080	0.0159692
1079.5	0.0159978
1079	0.0160239
1078.5	0.016047
1078	0.016048
1077.5	0.0160259
1077	0.0160079
1076.5	0.0159885
1076	0.0159741
1075.5	0.0159425
1075	0.0159264
1074.5	0.0159139
1074	0.0159028
1073.5	0.0159025
1073	0.0159044
1072.5	0.0159252
1072	0.0159556
1071.5	0.0159972
1071	0.0160249
1070.5	0.0160582
1070	0.0161105
1069.5	0.0161607
1069	0.016218
1068.5	0.0162838
1068	0.016347
1067.5	0.0163929
1067	0.0165038
1066.5	0.0165581
1066	0.0166192
1065.5	0.0166379
1065	0.0166555
1064.5	0.0166318
1064	0.0165921
1063.5	0.0165682
1063	0.0164875
1062.5	0.0164349
1062	0.0163927
1061.5	0.0163891
1061	0.0163845
1060.5	0.0163827
1060	0.016391
1059.5	0.0163597
1059	0.0163847
1058.5	0.016392
1058	0.0164167
1057.5	0.0164313
1057	0.0164505
1056.5	0.0164883
1056	0.0165612
1055.5	0.0166395
1055	0.0166954
1054.5	0.0167682
1054	0.0168215
1053.5	0.0168578
1053	0.0168894
1052.5	0.0168984
1052	0.0168946
1051.5	0.0168927
1051	0.0168951
1050.5	0.0168702
1050	0.0168575
1049.5	0.0168466
1049	0.0168449
1048.5	0.0168301
1048	0.0168286
1047.5	0.0168217
1047	0.0168122
1046.5	0.0168228
1046	0.0168364
1045.5	0.0168296
1045	0.0168483
1044.5	0.0168748
1044	0.0169105
1043.5	0.016964
1043	0.0170047
1042.5	0.0170499
1042	0.0171187
1041.5	0.0171865
1041	0.0172486
1040.5	0.0172959
1040	0.0173313
1039.5	0.0173543
1039	0.0173813
1038.5	0.0173922
1038	0.0173873
1037.5	0.0173784
1037	0.0173818
1036.5	0.0173681
1036	0.0173852
1035.5	0.0173821
1035	0.0173799
1034.5	0.017373
1034	0.0173621
1033.5	0.0173485
1033	0.0173295
1032.5	0.0173199
1032	0.0173107
1031.5	0.0173269
1031	0.0173595
1030.5	0.0174201
1030	0.0174645
1029.5	0.0175407
1029	0.0176097
1028.5	0.01769
1028	0.0177659
1027.5	0.0178165
1027	0.017876
1026.5	0.0179013
1026	0.0179561
1025.5	0.0179675
1025	0.017992
1024.5	0.017986
1024	0.0179822
1023.5	0.0179875
1023	0.0179792
1022.5	0.017946
1022	0.0179278
1021.5	0.0179216
1021	0.0179181
1020.5	0.0179322
1020	0.0179323
1019.5	0.0179208
1019	0.0179285
1018.5	0.0179591
1018	0.017998
1017.5	0.0180476
1017	0.0181121
1016.5	0.0181577
1016	0.0182307
1015.5	0.0183138
1015	0.0183796
1014.5	0.0184571
1014	0.0184917
1013.5	0.0185328
1013	0.0185341
1012.5	0.0185421
1012	0.0185411
1011.5	0.0185075
1011	0.0184935
1010.5	0.0184688
1010	0.0184542
1009.5	0.0184484
1009	0.0184493
1008.5	0.0184624
1008	0.0184854
1007.5	0.0185147
1007	0.0185261
1006.5	0.0185398
1006	0.0185869
