TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/03/14
TIME	13:31:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	1100
LASTX	350
NPOINTS	1501
FIRSTY	0.00453376
MAXY	0.0905913
MINY	0.00431467
XYDATA
1100	0.00453376
1099.5	0.00452411
1099	0.00449726
1098.5	0.00447346
1098	0.00441317
1097.5	0.00440346
1097	0.00437762
1096.5	0.00434894
1096	0.00434513
1095.5	0.00433689
1095	0.00432705
1094.5	0.00433432
1094	0.00435323
1093.5	0.00435169
1093	0.00433545
1092.5	0.0043291
1092	0.00433555
1091.5	0.00435152
1091	0.00436896
1090.5	0.0043624
1090	0.00435617
1089.5	0.00435239
1089	0.00436233
1088.5	0.00434894
1088	0.00431467
1087.5	0.00435728
1087	0.00434228
1086.5	0.00435962
1086	0.00435527
1085.5	0.00435289
1085	0.004347
1084.5	0.00436203
1084	0.0043878
1083.5	0.00434606
1083	0.00437371
1082.5	0.00437187
1082	0.00438499
1081.5	0.00439958
1081	0.004429
1080.5	0.00444256
1080	0.00444919
1079.5	0.00446301
1079	0.00445806
1078.5	0.00446877
1078	0.00446308
1077.5	0.00445819
1077	0.00444363
1076.5	0.0044603
1076	0.00449971
1075.5	0.00453011
1075	0.00455605
1074.5	0.00458726
1074	0.00461067
1073.5	0.00462771
1073	0.00463334
1072.5	0.00460367
1072	0.00458418
1071.5	0.0045667
1071	0.00456134
1070.5	0.00456352
1070	0.00456218
1069.5	0.00458063
1069	0.00458807
1068.5	0.00461047
1068	0.00460896
1067.5	0.00461482
1067	0.00464024
1066.5	0.00462303
1066	0.00465407
1065.5	0.00467048
1065	0.00468532
1064.5	0.00471868
1064	0.00474169
1063.5	0.0047305
1063	0.00472441
1062.5	0.00473339
1062	0.00472695
1061.5	0.00472863
1061	0.004763
1060.5	0.00477027
1060	0.00478856
1059.5	0.00480394
1059	0.00482287
1058.5	0.00482729
1058	0.0048493
1057.5	0.00483576
1057	0.0048358
1056.5	0.00483121
1056	0.00484793
1055.5	0.00486089
1055	0.00486341
1054.5	0.00487162
1054	0.00485466
1053.5	0.0048691
1053	0.00483798
1052.5	0.00483024
1052	0.00479951
1051.5	0.00480735
1051	0.00480896
1050.5	0.00481891
1050	0.00484277
1049.5	0.00483932
1049	0.00488412
1048.5	0.00489708
1048	0.00491739
1047.5	0.00491357
1047	0.00492523
1046.5	0.00490425
1046	0.00491598
1045.5	0.00489645
1045	0.00489641
1044.5	0.0048866
1044	0.00489983
1043.5	0.00490027
1043	0.00489105
1042.5	0.004907
1042	0.00492349
1041.5	0.00492563
1041	0.00494015
1040.5	0.00492265
1040	0.00491809
1039.5	0.0049003
1039	0.00490982
1038.5	0.00490003
1038	0.0048876
1037.5	0.00490623
1037	0.0049004
1036.5	0.00491551
1036	0.00492919
1035.5	0.00494805
1035	0.00495134
1034.5	0.00494678
1034	0.00493948
1033.5	0.00493344
1033	0.00490821
1032.5	0.00489434
1032	0.00488727
1031.5	0.00488525
1031	0.00488767
1030.5	0.00490479
1030	0.00492406
1029.5	0.00493622
1029	0.00496247
1028.5	0.0049864
1028	0.00500342
1027.5	0.00501153
1027	0.00502618
1026.5	0.00501599
1026	0.00502474
1025.5	0.00502313
1025	0.00503956
1024.5	0.00504177
1024	0.005047
1023.5	0.00505246
1023	0.00505893
1022.5	0.00505558
1022	0.00505501
1021.5	0.00504884
1021	0.00505565
1020.5	0.00505317
1020	0.00506453
1019.5	0.00504951
1019	0.00505545
1018.5	0.00507087
1018	0.00507536
1017.5	0.00506487
1017	0.00505622
1016.5	0.0050536
1016	0.00507046
1015.5	0.00510473
1015	0.00511646
1014.5	0.00517876
1014	0.00518624
1013.5	0.00521984
1013	0.00522923
1012.5	0.00522939
1012	0.00520314
1011.5	0.00518962
1011	0.00518597
1010.5	0.00513188
1010	0.00515193
1009.5	0.00516746
1009	0.00520223
1008.5	0.00522017
1008	0.00523885
1007.5	0.00525833
1007	0.00525119
1006.5	0.00525595
